team_id,hackathon_id,team_name,creation_date
3001,101,TheChainBreakers,2/28/2025 10:00
3002,101,NFTify,2/28/2025 10:05
3003,101,DeFiNinjas,2/28/2025 10:10
3004,102,MiamiDeFi,5/5/2025 15:00
3005,102,StakingStars,5/5/2025 15:05
3006,102,TropicalChains,5/5/2025 15:10
3007,103,NFTeam,6/1/2025 9:00
3008,103,TokenArtists,6/1/2025 9:05
3009,103,MintMasters,6/1/2025 9:10
3010,104,L2Boost,6/25/2025 11:00
3011,104,ScaleForce,6/25/2025 11:05
3012,104,ZKRockets,6/25/2025 11:10
3013,105,SolSecure,8/10/2025 10:00
3014,105,SmartAuditors,8/10/2025 10:05
3015,105,CodeGuardians,8/10/2025 10:10
3016,106,DAOGlobal,8/28/2025 8:00
3017,106,VoterChain,8/28/2025 8:05
3018,106,GovernMinds,8/28/2025 8:10
3019,107,MetaPioneers,10/1/2025 9:00
3020,107,VRverse,10/1/2025 9:05
3021,107,ARNova,10/1/2025 9:10
3022,108,CrossConnect,11/15/2025 10:00
3023,108,ChainBridge,11/15/2025 10:05
3024,108,InterBlock,11/15/2025 10:10
