team_member
user_id,team_id,role_in_team,joined_at
1001,3001,Developer,2025-02-28 11:00:00
1002,3001,Designer,2025-02-28 11:05:00
1003,3001,QA,2025-02-28 11:10:00
1004,3002,Developer,2025-02-28 11:15:00
1005,3002,Designer,2025-02-28 11:20:00
1006,3002,QA,2025-02-28 11:25:00
1007,3003,Developer,2025-02-28 11:30:00
1008,3003,Designer,2025-02-28 11:35:00
1009,3003,QA,2025-02-28 11:40:00
1010,3004,Developer,2025-05-05 15:15:00
1011,3004,Designer,2025-05-05 15:20:00
1012,3004,QA,2025-05-05 15:25:00
1013,3005,Developer,2025-05-05 15:30:00
1014,3005,Designer,2025-05-05 15:35:00
1015,3005,QA,2025-05-05 15:40:00
1016,3006,Developer,2025-05-05 15:45:00
1017,3006,Designer,2025-05-05 15:50:00
1018,3006,QA,2025-05-05 15:55:00
1019,3007,Developer,2025-06-01 09:15:00
1020,3007,Designer,2025-06-01 09:20:00
1021,3007,QA,2025-06-01 09:25:00
1022,3008,Developer,2025-06-01 09:30:00
1023,3008,Designer,2025-06-01 09:35:00
1024,3008,QA,2025-06-01 09:40:00
1025,3009,Developer,2025-06-01 09:45:00
1026,3009,Designer,2025-06-01 09:50:00
1027,3009,QA,2025-06-01 09:55:00
1028,3010,Developer,2025-06-25 11:15:00
1029,3010,Designer,2025-06-25 11:20:00
1030,3010,QA,2025-06-25 11:25:00
1031,3011,Developer,2025-06-25 11:30:00
1032,3011,Designer,2025-06-25 11:35:00
1033,3011,QA,2025-06-25 11:40:00
1034,3012,Developer,2025-06-25 11:45:00
1035,3012,Designer,2025-06-25 11:50:00
1036,3012,QA,2025-06-25 11:55:00
1037,3013,Developer,2025-08-10 10:15:00
1038,3013,Designer,2025-08-10 10:20:00
1039,3013,QA,2025-08-10 10:25:00
1040,3014,Developer,2025-08-10 10:30:00
1041,3014,Designer,2025-08-10 10:35:00
1042,3014,QA,2025-08-10 10:40:00
1043,3015,Developer,2025-08-10 10:45:00
1044,3015,Designer,2025-08-10 10:50:00
1045,3015,QA,2025-08-10 10:55:00
1046,3016,Developer,2025-08-28 08:15:00
1047,3016,Designer,2025-08-28 08:20:00
1048,3016,QA,2025-08-28 08:25:00
1049,3017,Developer,2025-08-28 08:30:00
1050,3017,Designer,2025-08-28 08:35:00
1051,3017,QA,2025-08-28 08:40:00
1052,3018,Developer,2025-08-28 08:45:00
1053,3018,Designer,2025-08-28 08:50:00
1054,3018,QA,2025-08-28 08:55:00
1055,3019,Developer,2025-10-01 09:15:00
1056,3019,Designer,2025-10-01 09:20:00
1057,3019,QA,2025-10-01 09:25:00
1058,3020,Developer,2025-10-01 09:30:00
1059,3020,Designer,2025-10-01 09:35:00
1060,3020,QA,2025-10-01 09:40:00
1061,3021,Developer,2025-10-01 09:45:00
1062,3021,Designer,2025-10-01 09:50:00
1063,3021,QA,2025-10-01 09:55:00
1064,3022,Developer,2025-11-15 10:15:00
1065,3022,Designer,2025-11-15 10:20:00
1066,3022,QA,2025-11-15 10:25:00
1067,3023,Developer,2025-11-15 10:30:00
1068,3023,Designer,2025-11-15 10:35:00
1069,3023,QA,2025-11-15 10:40:00
1070,3024,Developer,2025-11-15 10:45:00
1071,3024,Designer,2025-11-15 10:50:00
1072,3024,QA,2025-11-15 10:55:00
